"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the total expenses are updated correctly, and that the new record can be isolated using set theory (Set Difference).","181","E2E_05: API & DB Data Integrity: Set Theory & ACID","tests.api","Fri Apr 10 20:20:53 UTC 2026","passed","Fri Apr 10 20:20:53 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5089","Create multiple expenses via DDT","tests.web","Fri Apr 10 20:21:42 UTC 2026","passed","Fri Apr 10 20:21:47 UTC 2026","TestWeb","test_web_expense","",""
"GET a single expense by ID and verify status code","6","API_04: Get Single Expense by ID (Status 200)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","11","API_03: Data Driven Testing (Multiple Items)","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Attempt to delete an ID that does not exist in the system (404)","7","API_08: Negative - Delete Invalid ID","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Updates an existing expense via the API and verifies that the change is saved in SQLite. Verifies that the API update is synchronized with the data layer.","132","E2E_03: API → DB | PUT updates record in SQLite","tests.api","Fri Apr 10 20:20:53 UTC 2026","passed","Fri Apr 10 20:20:53 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"This test verifies that a new expense can be added to the tracker","5110","Create a new expense via Web UI","tests.web","Fri Apr 10 20:21:32 UTC 2026","passed","Fri Apr 10 20:21:37 UTC 2026","TestWeb","test_web_expense","",""
"Creates an expense on the web UI, reads it back from the DOM elements, then POSTs to JSON server and INSERTs to SQLite using the extracted data.","6030","E2E: Web UI → Extract Data → Insert to API + DB","tests","Fri Apr 10 20:21:08 UTC 2026","passed","Fri Apr 10 20:21:14 UTC 2026","TestE2EWebApiDbExpenseTracker","test_e2e_web_api_db","",""
"Fetches real-time EUR to USD conversion rate via API, calculates the expense, and adds it","5227","Verify expense creation with real-time API conversion","tests.web","Fri Apr 10 20:22:03 UTC 2026","passed","Fri Apr 10 20:22:08 UTC 2026","TestWeb","test_web_expense","",""
"Attempting to retrieve a deleted expense and getting a 404 error","5","API_07: Negative - Get Deleted Expense","tests.api","Fri Apr 10 20:20:52 UTC 2026","passed","Fri Apr 10 20:20:52 UTC 2026","TestAPI","test_api_expense","",""
"Adds a temporary expense, clicks its delete button, and verifies it is removed from the list","6108","Verify deletion of an expense","tests.web","Fri Apr 10 20:22:16 UTC 2026","passed","Fri Apr 10 20:22:22 UTC 2026","TestWeb","test_web_expense","",""
"Negative test: Tries to add an expense without entering an amount and verifies it isn't added","5080","Verify creation of expense with empty amount is prevented","tests.web","Fri Apr 10 20:22:34 UTC 2026","passed","Fri Apr 10 20:22:39 UTC 2026","TestWeb","test_web_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5090","Create multiple expenses via DDT","tests.web","Fri Apr 10 20:21:47 UTC 2026","passed","Fri Apr 10 20:21:53 UTC 2026","TestWeb","test_web_expense","",""
