"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates an expense with a negative amount (-50) on the Web UI. The UI accepts it (bug). Then attempts to INSERT the extracted data into MySQL, which rejects it via CHECK (amount >= 0) constraint.","5226","E2E Negative: Web UI accepts negative amount → MySQL blocks INSERT","tests","Sun May 10 15:00:03 UTC 2026","passed","Sun May 10 15:00:08 UTC 2026","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"Fetches real-time EUR to USD conversion rate via API, calculates the expense, and adds it","5127","Verify expense creation with real-time API conversion","tests.web","Sun May 10 15:01:13 UTC 2026","passed","Sun May 10 15:01:18 UTC 2026","TestWeb","test_web_expense","",""
"Adds an expense, reloads the page, and verifies the expense is still displayed (checks LocalStorage)","6277","Verify data persistence after page reload","tests.web","Sun May 10 15:01:38 UTC 2026","passed","Sun May 10 15:01:44 UTC 2026","TestWeb","test_web_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","9","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Negative test: System accepts -50 as valid amount - this is a bug. Expected: validation alert. Actual: expense is created.","8073","BUG: Verify negative amount input is accepted (should be blocked)","tests.web","Sun May 10 15:01:18 UTC 2026","skipped","Sun May 10 15:01:26 UTC 2026","TestWeb","test_web_expense","",""
"Injects a record directly into SQLite and verifies that the API returns it. Verifies that the API reads the data from the DB correctly.","64","E2E_02: DB → API | INSERT in SQLite is readable via GET","tests.api","Sun May 10 14:59:59 UTC 2026","passed","Sun May 10 14:59:59 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Negative test: Tries to add an expense without entering an amount and verifies it isn't added","5079","Verify creation of expense with empty amount is prevented","tests.web","Sun May 10 15:01:44 UTC 2026","passed","Sun May 10 15:01:49 UTC 2026","TestWeb","test_web_expense","",""
"Deletes an expense via the API and verifies that the record is removed from SQLite. Verifies that the API delete is synchronized with the data layer.","67","E2E_04: API → DB | DELETE removes record from SQLite","tests.api","Sun May 10 14:59:59 UTC 2026","passed","Sun May 10 14:59:59 UTC 2026","TestE2EApiDb","test_e2e_api_db_expense","",""
"Attempt to access an API address that does not exist and appropriate error validation.","3","API_10: Negative - Bad Route / Endpoint","tests.api","Sun May 10 14:59:58 UTC 2026","passed","Sun May 10 14:59:58 UTC 2026","TestAPI","test_api_expense","",""
"Reads a complete record from SQLite and injects it into the expense tracker website.","5122","Web & DB: Inject full DB data to Web UI","tests.web","Sun May 10 15:00:26 UTC 2026","passed","Sun May 10 15:00:31 UTC 2026","TestDBWeb","test_db_web_expense","",""
